,code,name,market
548,002087,新野纺织,0
549,002088,鲁阳节能,0
550,002089,新 海 宜,0
551,002090,金智科技,0
552,002091,江苏国泰,0
553,002092,中泰化学,0
554,002093,国脉科技,0
555,002094,青岛金王,0
556,002095,生 意 宝,0
557,002096,南岭民爆,0
558,002097,山河智能,0
559,002098,浔兴股份,0
560,002099,海翔药业,0
561,002100,天康生物,0
562,002101,广东鸿图,0
563,002102,冠福股份,0
564,002103,广博股份,0
565,002104,恒宝股份,0
566,002105,信隆健康,0
567,002106,莱宝高科,0
568,002107,沃华医药,0
569,002108,沧州明珠,0
570,002109,兴化股份,0
571,002110,三钢闽光,0
572,002111,威海广泰,0
573,002112,三变科技,0
574,002113,天润数娱,0
575,002114,罗平锌电,0
576,002115,三维通信,0
577,002116,中国海诚,0
578,002117,东港股份,0
579,002118,紫鑫药业,0
580,002119,康强电子,0
581,002120,韵达股份,0
582,002121,科陆电子,0
583,002122,天马股份,0
584,002123,梦网集团,0
585,002124,天邦股份,0
586,002125,湘潭电化,0
587,002126,银轮股份,0
588,002127,南极电商,0
589,002128,露天煤业,0
590,002129,中环股份,0
591,002130,沃尔核材,0
592,002131,利欧股份,0
593,002132,恒星科技,0
594,002133,广宇集团,0
595,002134,*ST普林,0
596,002135,东南网架,0
597,002136,安 纳 达,0
598,002137,麦达数字,0
599,002138,顺络电子,0
600,002139,拓邦股份,0
601,002140,东华科技,0
602,002141,贤丰控股,0
603,002142,宁波银行,0
604,002143,印纪传媒,0
605,002144,宏达高科,0
606,002145,中核钛白,0
607,002146,荣盛发展,0
608,002147,新光圆成,0
609,002148,北纬科技,0
610,002149,西部材料,0
611,002150,通润装备,0
612,002151,北斗星通,0
613,002152,广电运通,0
614,002153,石基信息,0
615,002154,报 喜 鸟,0
616,002155,湖南黄金,0
617,002156,通富微电,0
618,002157,正邦科技,0
619,002158,汉钟精机,0
620,002159,三特索道,0
621,002160,常铝股份,0
622,002161,远 望 谷,0
623,002162,悦心健康,0
624,002163,中航三鑫,0
625,002164,宁波东力,0
626,002165,红 宝 丽,0
627,002166,莱茵生物,0
628,002167,东方锆业,0
629,002168,深圳惠程,0
630,002169,智光电气,0
631,002170,芭田股份,0
632,002171,楚江新材,0
633,002172,澳洋科技,0
634,002173,创新医疗,0
635,002174,游族网络,0
636,002175,东方网络,0
637,002176,江特电机,0
638,002177,御银股份,0
639,002178,延华智能,0
640,002179,中航光电,0
641,002180,纳思达,0
642,002181,粤 传 媒,0
643,002182,云海金属,0
644,002183,怡 亚 通,0
645,002184,海得控制,0
646,002185,华天科技,0
647,002186,全 聚 德,0
648,002187,广百股份,0
649,002188,ST巴士,0
650,002189,利达光电,0
651,002190,成飞集成,0
652,002191,劲嘉股份,0
653,002192,融捷股份,0
654,002193,如意集团,0
655,002194,武汉凡谷,0
656,002195,二三四五,0
657,002196,方正电机,0
658,002197,证通电子,0
659,002198,嘉应制药,0
660,002199,东晶电子,0
661,002200,云投生态,0
662,002201,九鼎新材,0
663,002202,金风科技,0
664,002203,海亮股份,0
665,002204,大连重工,0
666,002205,国统股份,0
667,002206,海 利 得,0
668,002207,*ST准油,0
669,002208,合肥城建,0
670,002209,达 意 隆,0
671,002210,飞马国际,0
672,002211,宏达新材,0
673,002212,南洋股份,0
674,002213,特 尔 佳,0
675,002214,大立科技,0
676,002215,诺 普 信,0
677,002216,三全食品,0
678,002217,合力泰,0
679,002218,拓日新能,0
680,002219,恒康医疗,0
681,002220,天宝食品,0
682,002221,东华能源,0
683,002222,福晶科技,0
684,002223,鱼跃医疗,0
685,002224,三 力 士,0
686,002225,濮耐股份,0
687,002226,江南化工,0
688,002227,奥 特 迅,0
689,002228,合兴包装,0
690,002229,鸿博股份,0
691,002230,科大讯飞,0
692,002231,奥维通信,0
693,002232,启明信息,0
694,002233,塔牌集团,0
695,002234,民和股份,0
696,002235,安妮股份,0
697,002236,大华股份,0
698,002237,恒邦股份,0
699,002238,天威视讯,0
700,002239,奥特佳,0
701,002240,威华股份,0
702,002241,歌尔股份,0
703,002242,九阳股份,0
704,002243,通产丽星,0
705,002244,滨江集团,0
706,002245,澳洋顺昌,0
707,002246,北化股份,0
708,002247,帝龙文化,0
709,002248,*ST东数,0
710,002249,大洋电机,0
711,002250,联化科技,0
712,002251,步 步 高,0
713,002252,上海莱士,0
714,002253,川大智胜,0
715,002254,泰和新材,0
716,002255,海陆重工,0
717,002256,兆新股份,0
718,002258,利尔化学,0
719,002259,升达林业,0
720,002260,德奥通航,0
721,002261,拓维信息,0
722,002262,恩华药业,0
723,002263,大 东 南,0
724,002264,新 华 都,0
725,002265,西仪股份,0
726,002266,浙富控股,0
727,002267,陕天然气,0
728,002268,卫 士 通,0
729,002269,美邦服饰,0
730,002270,华明装备,0
731,002271,东方雨虹,0
732,002272,川润股份,0
733,002273,水晶光电,0
734,002274,华昌化工,0
735,002275,桂林三金,0
736,002276,万马股份,0
737,002277,友阿股份,0
738,002278,神开股份,0
739,002279,久其软件,0
740,002280,联络互动,0
741,002281,光迅科技,0
742,002282,博深工具,0
743,002283,天润曲轴,0
744,002284,亚太股份,0
745,002285,世联行,0
746,002286,保龄宝,0
747,002287,奇正藏药,0
748,002288,超华科技,0
749,002289,宇顺电子,0
750,002290,中科新材,0
751,002291,星期六,0
752,002292,奥飞娱乐,0
753,002293,罗莱生活,0
754,002294,信立泰,0
755,002295,精艺股份,0
756,002296,辉煌科技,0
757,002297,博云新材,0
758,002298,中电鑫龙,0
759,002299,圣农发展,0
760,002300,太阳电缆,0
761,002301,齐心集团,0
762,002302,西部建设,0
763,002303,美盈森,0
764,002304,洋河股份,0
765,002305,南国置业,0
766,002306,*ST云网,0
767,002307,北新路桥,0
768,002308,威创股份,0
769,002309,中利集团,0
770,002310,东方园林,0
771,002311,海大集团,0
772,002312,*ST三泰,0
773,002313,日海通讯,0
774,002314,南山控股,0
775,002315,焦点科技,0
776,002316,键桥通讯,0
777,002317,众生药业,0
778,002318,久立特材,0
779,002319,乐通股份,0
780,002320,海峡股份,0
781,002321,华英农业,0
782,002322,理工环科,0
783,002323,雅百特,0
784,002324,普利特,0
785,002325,洪涛股份,0
786,002326,永太科技,0
787,002327,富安娜,0
788,002328,新朋股份,0
789,002329,皇氏集团,0
790,002330,得利斯,0
791,002331,皖通科技,0
792,002332,仙琚制药,0
793,002333,罗普斯金,0
794,002334,英威腾,0
795,002335,科华恒盛,0
796,002336,人人乐,0
797,002337,赛象科技,0
798,002338,奥普光电,0
799,002339,积成电子,0
800,002340,格林美,0
801,002341,新纶科技,0
802,002342,巨力索具,0
803,002343,慈文传媒,0
804,002344,海宁皮城,0
805,002345,潮宏基,0
806,002346,柘中股份,0
807,002347,泰尔股份,0
808,002348,高乐股份,0
809,002349,精华制药,0
810,002350,北京科锐,0
811,002351,漫步者,0
812,002352,顺丰控股,0
813,002353,杰瑞股份,0
814,002354,天神娱乐,0
815,002355,兴民智通,0
816,002356,赫美集团,0
817,002357,富临运业,0
818,002358,森源电气,0
819,002359,北讯集团,0
820,002360,同德化工,0
821,002361,神剑股份,0
822,002362,汉王科技,0
823,002363,隆基机械,0
824,002364,中恒电气,0
825,002365,永安药业,0
826,002366,台海核电,0
827,002367,康力电梯,0
828,002368,太极股份,0
829,002369,卓翼科技,0
830,002370,亚太药业,0
831,002371,北方华创,0
832,002372,伟星新材,0
833,002373,千方科技,0
834,002374,丽鹏股份,0
835,002375,亚厦股份,0
